sam_address_id,zip_code,latitude,longitude,trashday
1117,02128,42.38544000040699,-71.01728000108979,Thursday
1118,02128,42.38544000040699,-71.01728000108979,Thursday
1119,02128,42.38544000040699,-71.01728000108979,Thursday
1120,02128,42.38540999991736,-71.0170800009124,Thursday
1122,02128,42.385342475631525,-71.01672127317524,Thursday
1123,02128,42.38528000018909,-71.01653000166004,Thursday
1124,02128,42.38526000015311,-71.01644000113416,Thursday
1125,02128,42.38505000041361,-71.01603000109748,Thursday
1126,02128,42.38503999990481,-71.01571000158552,Thursday
1128,02128,42.38497499961713,-71.0152380013751,Thursday
1129,02128,42.385759999850926,-71.01900000124711,Thursday
1130,02128,42.38573000025747,-71.01847000111853,Thursday
1131,02128,42.38565500041576,-71.01830700080441,Thursday
1132,02128,42.385610000076056,-71.0180500015134,Thursday
1133,02128,42.385610000076056,-71.0180500015134,Thursday
1134,02128,42.385610000076056,-71.0180500015134,Thursday
1136,02128,42.38551999952093,-71.0176700010867,Thursday
2821,02128,42.36466100034928,-71.03322600146791,Wednesday
3686,02128,42.38306999991759,-70.99785000125448,Friday
3687,02128,42.38294999981413,-70.99795000132542,Friday
3688,02128,42.382829999655655,-70.99802000096922,Friday
3689,02128,42.38243999968451,-70.99877000134856,Friday
3690,02128,42.38272000003199,-70.99810000107676,Friday
3691,02128,42.3824799997466,-70.99824000115002,Friday
3692,02128,42.38237999957704,-70.99830000131821,Friday
3693,02128,42.38228000043455,-70.99838000134278,Friday
3694,02128,42.38212899975567,-70.99849100109557,Friday
3752,02128,42.37256999972913,-71.0366600014845,Wednesday
3753,02128,42.37244000008372,-71.03647000076332,Wednesday
3763,02128,42.38754000009194,-71.0059300013425,Friday
3764,02128,42.38772999978252,-71.00544000125967,Friday
3765,02128,42.38762999966799,-71.00591000127923,Friday
3766,02128,42.38770999980353,-71.00589000135703,Friday
3767,02128,42.38747000045935,-71.00555000088315,Friday
3768,02128,42.387450000422746,-71.00595000134962,Friday
3769,02128,42.387549999623936,-71.00552000130654,Friday
3770,02128,42.38764000014424,-71.00549000090379,Friday
3801,02128,42.37580999978887,-71.03564000119837,Tuesday
3802,02128,42.37576000020036,-71.03567000076735,Tuesday
3803,02128,42.375720000161394,-71.03572000131265,Tuesday
3804,02128,42.37566999968697,-71.03577000094677,Tuesday
4213,02128,42.36620599961188,-71.0311290010361,Wednesday
4214,02128,42.36627099991629,-71.03107800140877,Wednesday
4671,02128,42.366080736521255,-71.03056439988255,Wednesday
4673,02128,42.36610999962341,-71.03027000092972,Wednesday
4674,02128,42.36612000014678,-71.03027000102583,Wednesday
4675,02128,42.36612999969762,-71.03026000136737,Wednesday
5235,02128,42.38854999984645,-71.00934000112397,Friday
5236,02128,42.388819999678354,-71.00911000136495,Friday
5237,02128,42.38889999979188,-71.00928000104741,Friday
5238,02128,42.38895999982395,-71.00945000079304,Friday
5239,02128,42.38903999994987,-71.00959000103246,Friday
5240,02128,42.38780999993506,-71.0047500009469,Friday
5241,02128,42.38910999959347,-71.00973000110534,Friday
5242,02128,42.38932000023219,-71.00981000125151,Friday
5243,02128,42.38924000019741,-71.01009000155719,Friday
5244,02128,42.389400000373655,-71.0103400013868,Friday
5245,02128,42.38948000045313,-71.01048000158626,Friday
5246,02128,42.38780999988671,-71.00500000164585,Friday
5247,02128,42.38809999979832,-71.0047900009649,Friday
5248,02128,42.38838799952496,-71.00473100095125,Friday
5249,02128,42.388110000284,-71.0049500011323,Friday
5250,02128,42.38828700034373,-71.00489300116362,Friday
5251,02128,42.38782000040081,-71.00513000131583,Friday
5252,02128,42.38829000045855,-71.00501000124191,Friday
5253,02128,42.3881300002892,-71.00518000096861,Friday
5254,02128,42.38784000040964,-71.00525000142495,Friday
5255,02128,42.3883400000472,-71.00530000103825,Friday
5256,02128,42.38815999988732,-71.00541000161915,Friday
5257,02128,42.38788000047518,-71.0055100008407,Friday
5259,02128,42.388408999654246,-71.00569900146348,Friday
5260,02128,42.387919999590665,-71.00576000162859,Friday
5261,02128,42.387919999590665,-71.00576000162859,Friday
5262,02128,42.387919999590665,-71.00576000162859,Friday
5263,02128,42.387919999590665,-71.00576000162859,Friday
5264,02128,42.387919999590665,-71.00576000162859,Friday
5265,02128,42.38825999993059,-71.00594000092215,Friday
5266,02128,42.38791000002924,-71.00591000126283,Friday
5267,02128,42.38825999995535,-71.0060600010455,Friday
5268,02128,42.387930000018464,-71.00602000104533,Friday
5269,02128,42.3883707811745,-71.00683406475785,Friday
5270,02128,42.38807000023436,-71.00717000092658,Friday
5271,02128,42.38842000011532,-71.00701000163134,Friday
5272,02128,42.38803200028448,-71.00764300113045,Friday
5273,02128,42.388469999720535,-71.0072100010202,Friday
5275,02128,42.38819999988419,-71.00801000102415,Friday
5276,02128,42.38825000036422,-71.00869000082619,Friday
5277,02128,42.38864000036425,-71.00846000110828,Friday
5278,02128,42.38867000000499,-71.00858000118264,Friday
5279,02128,42.3884200001018,-71.00899000124522,Friday
5280,02128,42.388799999675015,-71.00894000165682,Friday
8234,02128,42.38587999997706,-71.00153000091252,Friday
8235,02128,42.38548999996892,-71.0015800013468,Friday
8236,02128,42.3858199998989,-71.0013600011172,Friday
8237,02128,42.38540999992208,-71.0013900015576,Friday
8238,02128,42.38577000032864,-71.00119000140347,Friday
8239,02128,42.38536999985988,-71.00124000099991,Friday
8240,02128,42.3857199998206,-71.00100000165416,Friday
8241,02128,42.38530000025695,-71.00106000075873,Friday
8242,02128,42.38565000013841,-71.00086000149271,Friday
8243,02128,42.38529756031102,-71.00087945983572,Friday
